"Title","COG Category","Essentiality","Function","GO IDs","Pathway","Product","Short Name","Synonyms"
"CD630_00280","INFORMATION STORAGE AND PROCESSING","","Participates in a DNA-damage check-point that is active prior to asymmetric division when DNA is damaged. DisA forms globular foci that rapidly scan along the chromosomes during sporulation, searching for lesions. When a lesion is present, DisA pauses at the lesion site. This triggers a cellular response that culminates in a temporary block in sporulation initiation. ","GO:0003677, GO:0005524, GO:0006281, GO:0016779, GO:0019932","","DNA integrity scanning protein disA","disA",""
"CD630_00290","POORLY CHARACTERIZED","","","GO:0016021","","Putative membrane protein","",""
"CD630_00300","POORLY CHARACTERIZED","Yes","","GO:0016021","","Putative membrane protein","",""
"CD630_00310","INFORMATION STORAGE AND PROCESSING","","","GO:0003700, GO:0043565","","Transcriptional regulator, AraC family","",""
"CD630_00320","METABOLISM","","","GO:0004338, GO:0005975","","Putative beta-glucosidase","",""
"CD630_00330","METABOLISM","","","GO:0004553, GO:0005975","","Putative glycoside hydrolase","",""
"CD630_00340","METABOLISM","","","GO:0006814, GO:0008643, GO:0015293, GO:0016021","","Putative xylose transporter, sodium:galactosidesymporter family","",""
"CD630_00350","INFORMATION STORAGE AND PROCESSING","","","GO:0003700, GO:0006352, GO:0030246","","Transcriptional regulator","",""
"CD630_00360","METABOLISM","","","GO:0004739","","Acetoin dehydrogenase E1 component (TPP-dependentalpha subunit)","acoA",""
"CD630_00370","METABOLISM","","","GO:0004739","","Acetoin dehydrogenase E1 component (TPP-dependentbeta subunit)","acoB",""
"CD630_00380","METABOLISM","","","GO:0004742","","Acetoin dehydrogenase E2 component(dihydrolipoamide acetyltransferase)","acoC",""
"CD630_00390","METABOLISM","","","GO:0004148, GO:0005623, GO:0009055, GO:0045454, GO:0050660","","Acetoin dehydrogenase E3 component(dihydrolipoamide dehydrogenase)","acoL",""
"CD630_00400","CELLULAR PROCESSES AND SIGNALING","","","GO:0003677, GO:0005524, GO:0006355, GO:0008134, GO:0009401, GO:0016021, GO:0016301","","Transcription antiterminator, PTS operonregulator","",""
"CD630_00410","METABOLISM","","","GO:0016301","","PTS system, galactitol-specific IIA component","",""
"CD630_00420","METABOLISM","","","GO:0008982, GO:0009401","","PTS system, galactitol-specific IIB component","",""
"CD630_00430","METABOLISM","","","GO:0009401, GO:0015577, GO:0016021","","PTS system, galactitol-specific IIC component","",""
"CD630_00440","POORLY CHARACTERIZED","","","GO:0016021","","Conserved hypothetical protein","",""
"CD630_00450","METABOLISM","","","","","Putative sugar-phosphate aldolase","",""
"CD630_00460","METABOLISM","","","GO:0009249, GO:0016779, GO:0016874","Protein modification","Putative lipoate-protein ligase","",""
"CD630_00470","METABOLISM","Yes","Catalyzes the formation of 4-diphosphocytidyl-2-C-methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4-phosphate (MEP). ","GO:0016114, GO:0019288, GO:0050518","Isoprenoid biosynthesis","2-C-methyl-D-erythritol 4-phosphatecytidylyltransferase","ispD",""
"CD630_00480","METABOLISM","Yes","Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4-diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP). ","GO:0008685, GO:0016114, GO:0019288, GO:0046872","Isoprenoid biosynthesis","2-C-methyl-D-erythritol 2,4-cyclodiphosphatesynthase","ispF",""
"CD630_00490","INFORMATION STORAGE AND PROCESSING","Yes","Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction: proline is first activated by ATP to form Pro-AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys-tRNA(Pro) is not edited by ProRS. ","GO:0002161, GO:0004827, GO:0005524, GO:0005737, GO:0006433","","Prolyl-tRNA synthetase","proS",""
"CD630_00500","INFORMATION STORAGE AND PROCESSING","Yes","Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction: proline is first activated by ATP to form Pro-AMP and then transferred to the acceptor end of tRNA(Pro). ","GO:0004827, GO:0005524, GO:0005737, GO:0006433","","Prolyl-tRNA synthetase","proS",""
"CD630_00510","INFORMATION STORAGE AND PROCESSING","Yes","Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction: glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu). ","GO:0000049, GO:0004818, GO:0005524, GO:0005737, GO:0006424, GO:0008270","","Glutamyl-tRNA synthetase","gltX",""
"CD630_00520","INFORMATION STORAGE AND PROCESSING","Yes","","GO:0004817, GO:0005524, GO:0005737, GO:0006423, GO:0008270","","Cysteinyl-tRNA synthetase (Cysteine--tRNA ligase)(CysRS)","cysS",""
"CD630_00530","POORLY CHARACTERIZED","","Involved in correct processing of both the 5' and 3' ends of 23S rRNA precursor. Processes 30S rRNA precursor transcript even in absence of ribonuclease 3 (Rnc); Rnc processes 30S rRNA into smaller rRNA precursors. ","GO:0004525, GO:0005737, GO:0006364, GO:0019843","","Ribonuclease III","mrnC",""
"CD630_00540","METABOLISM","","Catalyzes the reductive methylation of 2'-deoxyuridine-5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor, and NADPH and FADH(2) as the reductant. ","GO:0006231, GO:0006235, GO:0032259, GO:0050660, GO:0050797","Pyrimidine metabolism","Thymidylate synthase","thyX",""
"CD630_00550","INFORMATION STORAGE AND PROCESSING","","","GO:0003723, GO:0006396, GO:0008173","","Putative tRNA/rRNA methyltransferase, TrmHfamily, group3","",""
"CD630_00560","INFORMATION STORAGE AND PROCESSING","","","","","Putative ribonuclease","",""
"CD630_00570","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0003700, GO:0003899, GO:0006352, GO:0016987","","RNA polymerase factor sigma-70","sigH",""
"CD630_00580","INFORMATION STORAGE AND PROCESSING","Yes","This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. ","GO:0003746, GO:0003924, GO:0005525, GO:0005737","","Elongation factor EFTu/EF1A","tuf1","tufA,  tufB"
"CD630_00581","INFORMATION STORAGE AND PROCESSING","Yes","","GO:0003735, GO:0005840, GO:0006412","","50S ribosomal protein L33","rpmG",""
"CD630_00590","CELLULAR PROCESSES AND SIGNALING","Yes","Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation. ","GO:0005886, GO:0006605, GO:0009306, GO:0015450, GO:0016021, GO:0043952, GO:0065002","","Preprotein translocase SecE subunit","secE",""
"CD630_00600","INFORMATION STORAGE AND PROCESSING","Yes","Participates in transcription elongation, termination and antitermination. ","GO:0006353, GO:0006354, GO:0031564, GO:0032784","","transcription antitermination protein","nusG",""
"CD630_00610","INFORMATION STORAGE AND PROCESSING","Yes","Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. ","GO:0003735, GO:0005840, GO:0006412, GO:0070180","","50S ribosomal protein L11","rplK",""
"CD630_00620","INFORMATION STORAGE AND PROCESSING","Yes","Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release. ","GO:0000049, GO:0003735, GO:0006412, GO:0006417, GO:0015934, GO:0019843","","50S ribosomal protein L1","rplA",""
"CD630_00630","INFORMATION STORAGE AND PROCESSING","Yes","Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors. ","GO:0003735, GO:0006412, GO:0015934, GO:0042254, GO:0070180","","50S ribosomal protein L10","rplJ",""
"CD630_00640","INFORMATION STORAGE AND PROCESSING","","Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation. ","GO:0003735, GO:0005840, GO:0006412","","50S ribosomal protein L7/L12","rplL",""
"CD630_00650","POORLY CHARACTERIZED","","","GO:0016491","","Putative NADP-dependent deshydrogenase","",""
"CD630_00660","INFORMATION STORAGE AND PROCESSING","Yes","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. ","GO:0003677, GO:0003899, GO:0006351, GO:0032549","","DNA-directed RNA polymerase subunit beta","rpoB",""
"CD630_00670","INFORMATION STORAGE AND PROCESSING","Yes","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. ","GO:0000287, GO:0003677, GO:0003899, GO:0006351, GO:0008270","","DNA-directed RNA polymerase subunit beta'","rpoC",""
"CD630_00680","INFORMATION STORAGE AND PROCESSING","Yes","With S4 and S5 plays an important role in translational accuracy. ","GO:0000049, GO:0003735, GO:0006412, GO:0015935, GO:0019843","","30S ribosomal protein S12","rpsL",""
"CD630_00690","INFORMATION STORAGE AND PROCESSING","Yes","One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA. ","GO:0000049, GO:0003735, GO:0006412, GO:0015935, GO:0019843","","30S ribosomal protein S7","rpsG",""
"CD630_00700","INFORMATION STORAGE AND PROCESSING","Yes","Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. ","GO:0003746, GO:0003924, GO:0005525, GO:0005737","","Elongation factor G (EF-G)","fusA",""
"CD630_00710","INFORMATION STORAGE AND PROCESSING","Yes","This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. ","GO:0003746, GO:0003924, GO:0005525, GO:0005737","","Elongation factor EFTu/EF1A (EF-Tu)","tuf","tufA,  tufB"
"CD630_00720","INFORMATION STORAGE AND PROCESSING","","Involved in the binding of tRNA to the ribosomes. ","GO:0000049, GO:0003735, GO:0005840, GO:0006412","","30S ribosomal protein S10","rpsJ",""
"CD630_00730","INFORMATION STORAGE AND PROCESSING","Yes","One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit. ","GO:0003735, GO:0005840, GO:0006412, GO:0019843","","50S ribosomal protein L3","rplC",""
"CD630_00740","INFORMATION STORAGE AND PROCESSING","Yes","Forms part of the polypeptide exit tunnel. ","GO:0003735, GO:0005840, GO:0006412, GO:0019843","","50S ribosomal protein L4","rplD",""
"CD630_00750","INFORMATION STORAGE AND PROCESSING","Yes","One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome. ","GO:0003735, GO:0005840, GO:0006412, GO:0019843","","50S ribosomal protein L23","rplW",""
"CD630_00760","INFORMATION STORAGE AND PROCESSING","Yes","One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity; this is somewhat controversial. Makes several contacts with the 16S rRNA in the 70S ribosome. ","GO:0003735, GO:0006412, GO:0015934, GO:0016740, GO:0019843","","50S ribosomal protein L2","rplB",""
"CD630_00770","INFORMATION STORAGE AND PROCESSING","Yes","Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA. ","GO:0003735, GO:0006412, GO:0015935, GO:0019843","","30S ribosomal protein S19","rpsS",""
"CD630_00780","INFORMATION STORAGE AND PROCESSING","Yes","This protein binds specifically to 23S rRNA; its binding is stimulated by other ribosomal proteins, e.g. L4, L17, and L20. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity). ","GO:0003735, GO:0006412, GO:0015934, GO:0019843","","50S ribosomal protein L22","rplV",""
"CD630_00790","INFORMATION STORAGE AND PROCESSING","Yes","Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation. ","GO:0003729, GO:0003735, GO:0005840, GO:0006412, GO:0019843","","30S ribosomal protein S3","rpsC",""
"CD630_00800","INFORMATION STORAGE AND PROCESSING","Yes","Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs. ","GO:0000049, GO:0003735, GO:0005840, GO:0006412, GO:0019843","","50S ribosomal protein L16","rplP",""
"CD630_00801","INFORMATION STORAGE AND PROCESSING","Yes","","GO:0003735, GO:0005840, GO:0006412","","50S ribosomal protein L29","rpmC",""
"CD630_00810","INFORMATION STORAGE AND PROCESSING","Yes","One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA. ","GO:0003735, GO:0005840, GO:0006412, GO:0019843","","30S ribosomal protein S17","rpsQ",""
"CD630_00820","INFORMATION STORAGE AND PROCESSING","","Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome. ","GO:0003735, GO:0006412, GO:0015934, GO:0019843","","50S ribosomal protein L14","rplN",""
"CD630_00830","INFORMATION STORAGE AND PROCESSING","Yes","One of two assembly initiator proteins, it binds directly to the 5'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit. ","GO:0003735, GO:0005840, GO:0006412, GO:0019843","","50S ribosomal protein L24","rplX",""
"CD630_00840","INFORMATION STORAGE AND PROCESSING","Yes","This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits; this bridge is implicated in subunit movement. Contacts the P site tRNA; the 5S rRNA and some of its associated proteins might help stabilize positioning of ribosome-bound tRNAs. ","GO:0000049, GO:0003735, GO:0005840, GO:0006412, GO:0019843","","50S ribosomal protein L5","rplE",""
"CD630_00841","INFORMATION STORAGE AND PROCESSING","Yes","Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site. ","GO:0003735, GO:0005840, GO:0006412, GO:0008270, GO:0019843","","30S ribosomal protein S14 type Z","rpsZ","rpsN"
"CD630_00850","INFORMATION STORAGE AND PROCESSING","Yes","One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit. ","GO:0003735, GO:0005840, GO:0006412, GO:0019843","","30S ribosomal protein S8","rpsH",""
"CD630_00860","INFORMATION STORAGE AND PROCESSING","Yes","This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7/L12 stalk, and near the tRNA binding site of the peptidyltransferase center. ","GO:0003735, GO:0005840, GO:0006412, GO:0019843","","50S ribosomal protein L6","rplF",""
"CD630_00870","INFORMATION STORAGE AND PROCESSING","Yes","This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. ","GO:0003735, GO:0005840, GO:0006412, GO:0019843","","50S ribosomal protein L18","rplR",""
"CD630_00880","INFORMATION STORAGE AND PROCESSING","Yes","With S4 and S12 plays an important role in translational accuracy. ","GO:0003735, GO:0006412, GO:0015935, GO:0019843","","30S ribosomal protein S5","rpsE",""
"CD630_00881","INFORMATION STORAGE AND PROCESSING","Yes","","GO:0003735, GO:0006412, GO:0015934","","50S ribosomal protein L30","rpmD",""
"CD630_00890","INFORMATION STORAGE AND PROCESSING","Yes","Binds to the 23S rRNA. ","GO:0003735, GO:0006412, GO:0015934, GO:0019843","","50S ribosomal protein L15","rplO",""
"CD630_00900","CELLULAR PROCESSES AND SIGNALING","Yes","The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently. ","GO:0005886, GO:0006605, GO:0016021, GO:0043952, GO:0065002","","Preprotein translocase SecY subunit","prlA","secY"
"CD630_00910","METABOLISM","Yes","Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. ","GO:0004017, GO:0005524, GO:0005737, GO:0008270, GO:0044209","Purine metabolism","Adenylate kinase","adk",""
"CD630_00920","INFORMATION STORAGE AND PROCESSING","Yes","Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val). Requires deformylation of the N(alpha)-formylated initiator methionine before it can be hydrolyzed. ","GO:0046872, GO:0070006, GO:0070084","","Methionine aminopeptidase Map1 (MAP) (PeptidaseM)","map1","map"
"CD630_00930","POORLY CHARACTERIZED","Yes","","GO:0005840","","Ribosomal protein L14E/L6E/L27E-like","",""
"CD630_00940","INFORMATION STORAGE AND PROCESSING","Yes","One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre-initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initiation complex. ","GO:0003743, GO:0005737, GO:0019843, GO:0043022","","Translation initiation factor IF-1","infA",""
"CD630_00941","INFORMATION STORAGE AND PROCESSING","Yes","","GO:0003735, GO:0005840, GO:0006412","","50S ribosomal protein L36","rpmJ",""
"CD630_00950","INFORMATION STORAGE AND PROCESSING","Yes","Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits; these bridges are implicated in subunit movement. Contacts the tRNAs in the A and P-sites. ","GO:0000049, GO:0003735, GO:0005840, GO:0006412, GO:0019843","","30S ribosomal protein S13","rpsM",""
"CD630_00960","INFORMATION STORAGE AND PROCESSING","Yes","Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome. ","GO:0003735, GO:0005840, GO:0006412, GO:0019843","","30S ribosomal protein S11","rpsK",""
"CD630_00970","INFORMATION STORAGE AND PROCESSING","Yes","One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit. ","GO:0003735, GO:0006412, GO:0015935, GO:0019843","","30S ribosomal protein S4","rpsD",""
"CD630_00980","INFORMATION STORAGE AND PROCESSING","Yes","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. ","GO:0003677, GO:0003899, GO:0006351, GO:0046983","","DNA-directed RNA polymerase subunit alpha","rpoA",""
"CD630_00990","INFORMATION STORAGE AND PROCESSING","Yes","","GO:0003735, GO:0005840, GO:0006412","","50S ribosomal protein L17","rplQ",""
"CD630_01000","METABOLISM","","ATP-binding (A) component of a common energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates. ","GO:0005524, GO:0005886, GO:0016887, GO:0055085","","ABC-type transport system, cobalt-specificATP-binding protein","cbiO1","cbiO1"
"CD630_01010","METABOLISM","","ATP-binding (A) component of a common energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates. ","GO:0005524, GO:0005886, GO:0016887, GO:0055085","","ABC-type transport system, cobalt-specificATP-binding protein","cbiO2","cbiO2"
"CD630_01020","METABOLISM","","Transmembrane (T) component of an energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates. ","GO:0005886, GO:0016021, GO:0022857","","ABC-type transport system, cobalt-specificpermease","cbiQ","ecfT"
"CD630_01030","INFORMATION STORAGE AND PROCESSING","","Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs. ","GO:0003723, GO:0031119, GO:0106029","","tRNA pseudouridine synthase A 1","truA1","truA"
"CD630_01040","INFORMATION STORAGE AND PROCESSING","","This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly. ","GO:0003735, GO:0005840, GO:0006412","","50S ribosomal protein L13","rplM",""
"CD630_01050","INFORMATION STORAGE AND PROCESSING","Yes","","GO:0003735, GO:0005840, GO:0006412","","30S ribosomal protein S9","rpsI",""
"CD630_01060","CELLULAR PROCESSES AND SIGNALING","","","GO:0008745, GO:0009253, GO:0016021","","Germination-specific N-acetylmuramoyl-L-alanineamidase, Autolysin","cwlD",""
"CD630_01070","METABOLISM","","","GO:0008483, GO:0009058, GO:0030170","","Aspartate aminotransferase","aspC",""
"CD630_01080","METABOLISM","Yes","","GO:0005524, GO:0006260, GO:0008998","","Anaerobic ribonucleoside triphosphate reductase","nrdD",""
